,food_list,source
797,饘,eHowNet-food
798,饘粥,eHowNet-food
799,刈包,eHowNet-food
800,窩窩頭,eHowNet-food
801,麵包屑,eHowNet-food
802,糢,eHowNet-food
803,花捲,eHowNet-food
804,麵包,eHowNet-food
805,黑麵包,eHowNet-food
807,吐司,eHowNet-food
808,土司,eHowNet-food
809,土司麵包,eHowNet-food
810,三明治,eHowNet-food
811,火腿三明治,eHowNet-food
812,小籠包,eHowNet-food
813,湯包,eHowNet-food
814,菜包子,eHowNet-food
816,包子,eHowNet-food
817,銀絲卷,eHowNet-food
818,銀絲捲,eHowNet-food
819,饃,eHowNet-food
820,饅頭,eHowNet-food
821,披薩,eHowNet-food
822,漢堡,eHowNet-food
882,肉包,eHowNet-food
883,肉包子,eHowNet-food
926,四眼魚,eHowNet-food
927,成魚,eHowNet-food
928,沙丁魚,eHowNet-food
929,河魚,eHowNet-food
930,海魚,eHowNet-food
931,溪魚,eHowNet-food
932,無顎魚,eHowNet-food
933,生魚片,eHowNet-food
934,秘雕魚,eHowNet-food
935,醃魚,eHowNet-food
936,醺魚,eHowNet-food
937,釜中魚,eHowNet-food
938,銀魚,eHowNet-food
939,雄魚,eHowNet-food
940,飛魚,eHowNet-food
941,食人魚,eHowNet-food
942,食用魚,eHowNet-food
943,魚介,eHowNet-food
944,魚塊,eHowNet-food
945,魚屍,eHowNet-food
946,魚群,eHowNet-food
947,魚蝦,eHowNet-food
948,鮮魚,eHowNet-food
949,鹹水魚,eHowNet-food
950,鹹魚,eHowNet-food
951,魚,eHowNet-food
952,魚兒,eHowNet-food
953,魚類,eHowNet-food
954,淡水魚,eHowNet-food
955,香魚,eHowNet-food
956,腮,eHowNet-food
957,魚肚,eHowNet-food
958,魚鰓,eHowNet-food
959,魚鰾,eHowNet-food
960,鰓,eHowNet-food
961,鰾,eHowNet-food
962,幼魚,eHowNet-food
963,魚秧,eHowNet-food
964,魚苗,eHowNet-food
965,鯤,eHowNet-food
966,鱄,eHowNet-food
967,黃花魚,eHowNet-food
968,黃魚,eHowNet-food
969,印魚,eHowNet-food
970,斑魚,eHowNet-food
971,河豚,eHowNet-food
972,魨,eHowNet-food
973,海蛆,eHowNet-food
974,海馬,eHowNet-food
975,海龍,eHowNet-food
976,雄海馬,eHowNet-food
977,燈籠魚,eHowNet-food
978,琵琶魚,eHowNet-food
979,秋刀魚,eHowNet-food
980,虱目魚,eHowNet-food
981,孔雀魚,eHowNet-food
982,熱帶魚,eHowNet-food
983,紅龍,eHowNet-food
984,觀賞魚,eHowNet-food
985,金魚,eHowNet-food
986,鬥魚,eHowNet-food
987,魟,eHowNet-food
988,鰩,eHowNet-food
989,鰩魚,eHowNet-food
990,鮪,eHowNet-food
991,鮪魚,eHowNet-food
992,櫻花鉤吻鮭,eHowNet-food
993,河鱒,eHowNet-food
994,鉤吻鮭,eHowNet-food
995,鮭,eHowNet-food
996,鮭魚,eHowNet-food
997,鱒魚,eHowNet-food
998,錦鯉,eHowNet-food
999,松魚,eHowNet-food
1000,草魚,eHowNet-food
1001,鯇,eHowNet-food
1002,鯉,eHowNet-food
1003,鯉魚,eHowNet-food
1004,鰱,eHowNet-food
1005,鰱魚,eHowNet-food
1006,虎鯊,eHowNet-food
1007,豆腐鯊,eHowNet-food
1008,鮫,eHowNet-food
1009,鮫鰈,eHowNet-food
1010,鯊,eHowNet-food
1011,鯊魚,eHowNet-food
1012,烏魚,eHowNet-food
1013,鯔,eHowNet-food
1014,青花魚,eHowNet-food
1015,青魚,eHowNet-food
1016,魠,eHowNet-food
1017,鮐,eHowNet-food
1018,鯖,eHowNet-food
1019,鯖魚,eHowNet-food
1020,黑鯛,eHowNet-food
1021,魴,eHowNet-food
1022,鯛,eHowNet-food
1023,鯛類,eHowNet-food
1024,鯛魚,eHowNet-food
1025,鯧,eHowNet-food
1026,鯧魚,eHowNet-food
1027,土虱,eHowNet-food
1028,垃圾魚,eHowNet-food
1029,鮀,eHowNet-food
1030,鯰,eHowNet-food
1031,鰋,eHowNet-food
1032,黏魚,eHowNet-food
